number,value,params_dropout_lstm,params_dropout_output,params_freeze,params_learning_rate,params_num_layer,params_optimizer,state,train_loss,valid_loss,spearman_train,spearman_val,pearson_train,pearson_val
14,0.25021771527826786,0.6737725688481486,0.3245200551166244,False,2.4959606327728666e-05,1,Adam,COMPLETE,"[1.4989120154072055, 0.2628681266800963, 0.16605283105544907, 0.11677125290625816, 0.08616164578593892]","[0.4139465820044279, 0.26903006434440613, 0.30937585746869445, 0.25021771527826786, 0.3371305773034692]","[0.41744902318206883, 0.7948516397133611, 0.8740810854961379, 0.9131260867883292, 0.9393949646260525]","[0.7989038598196733, 0.8120247280141295, 0.8071073663324755, 0.8186623594129193, 0.8166189451080342]","[0.3773682315278816, 0.8667738814817852, 0.9179878611483808, 0.9433109171886985, 0.9586040942047842]","[0.8460861155571369, 0.8607583891458277, 0.86083511919555, 0.8714054892985535, 0.8693802330233374]"
3,0.27301567047834396,0.7076720294734357,0.36893790498113327,False,3.506616281221756e-05,2,Adam,COMPLETE,"[1.71461836940093, 0.2847820115979198, 0.1873419003681742, 0.12202373969790747, 0.09938304288406595]","[0.4951625093817711, 0.47608284652233124, 0.4751910362392664, 0.35974924080073833, 0.27301567047834396]","[0.3721839845526479, 0.7832443270155799, 0.8609974720365169, 0.9137409264443276, 0.9312657819474345]","[0.7862401362740933, 0.8017785002148594, 0.8052172576017723, 0.8095346633392595, 0.8123048064573717]","[0.32612902187505505, 0.85449122279881, 0.9069985541626354, 0.9404944858927282, 0.9519157206806892]","[0.8332484659854683, 0.8561805420384221, 0.8550773253594401, 0.8641423497546136, 0.8614373472180814]"
12,0.2757650874555111,0.47755229632532487,0.3389912628566967,False,2.5701177394765944e-05,3,Adam,COMPLETE,"[2.095219601615727, 0.3270675105799874, 0.20156824760299794, 0.1821310317559208, 0.11535066635542207]","[0.36892025731503963, 0.403774525038898, 0.6466072909533978, 0.2757650874555111, 0.32660077000036836]","[0.34660536888757004, 0.7429552667990257, 0.8436711905125835, 0.8697720939382528, 0.9190611472060667]","[0.7723608584244736, 0.8021182277433098, 0.7528879752936428, 0.8031313711681665, 0.8086122558257606]","[0.2925956761296031, 0.8318381784382137, 0.8999066452776032, 0.9111918573618905, 0.9443473654549813]","[0.8186505905677202, 0.8490976402689814, 0.8366348803142059, 0.8600198153184797, 0.8505217426631805]"
6,0.27583751175552607,0.26764010625038875,0.44801642825808524,False,3.862217450819051e-05,3,Adam,COMPLETE,"[1.6692795646276406, 0.31705959843431447, 0.23244534850978166, 0.1620828722931927, 0.12243916490952746]","[0.41020949371159077, 0.28749364614486694, 0.28334385342895985, 0.39096371456980705, 0.27583751175552607]","[0.37261001982489955, 0.7571765553847587, 0.8267198246482906, 0.8827162654247506, 0.9090200287201364]","[0.7608375461859659, 0.7967238713852538, 0.8070017800264601, 0.7793456425490425, 0.8001963886693548]","[0.32830957001883176, 0.8373672897554909, 0.8846069757639963, 0.9206290088826964, 0.9403738356647378]","[0.821132004950489, 0.8553265303736565, 0.8626348598447544, 0.8381842619763081, 0.857053335020779]"
11,0.2799097103998065,0.2480997208019064,0.270412931088546,False,5.25275351860605e-05,3,Adam,COMPLETE,"[1.4254867716444481, 0.3082931342956831, 0.1997240753375369, 0.1766015210008021, 0.12474409723989398]","[0.4525536820292473, 0.30817013792693615, 0.4101360999047756, 0.378076353110373, 0.2799097103998065]","[0.40752958946743006, 0.7736451547583316, 0.8495497691024518, 0.8740847586080288, 0.9175314207823807]","[0.7754858269722714, 0.7970740436912798, 0.7784528863235434, 0.7992736841479628, 0.801557773848932]","[0.3686590722715547, 0.8420444545273081, 0.9007721310307525, 0.912856291893332, 0.9392403602036731]","[0.8083397835647713, 0.8436804447628138, 0.8382601412951551, 0.8392635885766722, 0.8521481921027739]"
5,0.29406844079494476,0.041483761313284885,0.013291558058221398,False,3.234037652191672e-05,1,RMSprop,COMPLETE,"[0.7450530058402809, 0.22250164809415665, 0.1342679802730358, 0.0826389357152817, 0.059765000418900587]","[0.32623701356351376, 0.36157974135130644, 0.35255981609225273, 0.32602490950375795, 0.29406844079494476]","[0.5581110441879179, 0.8291608202431844, 0.8979876355634508, 0.9379908611746085, 0.9571512695841453]","[0.7895386564341229, 0.7989803888534753, 0.8158908302579724, 0.8165506332926095, 0.8133432450544619]","[0.605330061371985, 0.8883733435662501, 0.9341719296243274, 0.9600797861797311, 0.9713054737749887]","[0.8393000852833983, 0.8603300349972354, 0.8639665899659413, 0.8676848630035983, 0.869616404641177]"
10,0.30069773737341166,0.549029062484871,0.7241130904634926,False,8.74755107159403e-05,1,Adam,COMPLETE,"[1.0899084669222934, 0.35767234529522685, 0.23117172964614072, 0.1744698544950794, 0.15094954024651924]","[0.5289167501032352, 0.4135571485385299, 0.38405271619558334, 0.30069773737341166, 0.3475318541750312]","[0.38201749450483014, 0.7385092524437754, 0.8334995510835826, 0.8819647612299282, 0.8966889721149427]","[0.7191780983509091, 0.7634197328090285, 0.718356358724502, 0.7904010188518894, 0.77763274852792]","[0.42522313332046496, 0.8157908265517584, 0.8847391175617746, 0.9145797487254653, 0.926371414562732]","[0.737026635156665, 0.8214555046862033, 0.8229476331479387, 0.8444751033059377, 0.8277510141137461]"
13,0.3267843909561634,0.5316458283622821,0.293655884146204,False,2.5135414426012366e-05,3,Adam,COMPLETE,"[2.1462512507284286, 0.29322950094402267, 0.18321184851497196, 0.13802367727533518, 0.11986231238400336]","[0.40283478051424026, 0.3646944062784314, 0.3267843909561634, 0.5710164811462164, 0.4141159262508154]","[0.33694379524153256, 0.7714359637868522, 0.8579184810400773, 0.8970066071249385, 0.9190442116004106]","[0.7610509463571955, 0.8068521375496268, 0.8106722530713468, 0.8028027814357094, 0.8090396501840063]","[0.2844736185645529, 0.8501244299022916, 0.909332611808256, 0.9326915068223105, 0.942013944922163]","[0.8177094492858237, 0.8598913503825594, 0.8615874039923462, 0.861750409975873, 0.8606730341327032]"
1,0.3415426192805171,0.10402369861768115,0.4015470165327483,True,3.897931596672327e-05,3,RMSprop,COMPLETE,"[0.9646457362946846, 0.47229970026788093, 0.40775611567840303, 0.357972319284789, 0.3223231920449854]","[0.4271573629230261, 0.41100895311683416, 0.3802461940795183, 0.3535915408283472, 0.3415426192805171]","[0.44396981688327275, 0.6432109019764213, 0.6870155406066044, 0.7263007101320307, 0.7538194277408399]","[0.7005899900732567, 0.7345017572975552, 0.7535730796286789, 0.7607959650809246, 0.765593781085585]","[0.45445528853143924, 0.7446465683082597, 0.7839442872075914, 0.8129246530216991, 0.8333575590704636]","[0.7569138949963193, 0.78274285358132, 0.8009386318755513, 0.8158610576718083, 0.8216780102478625]"
9,0.34755153954029083,0.14430125305601785,0.06771415231149468,True,3.9669030154941894e-05,2,RMSprop,COMPLETE,"[0.8993295857803427, 0.46601050363170154, 0.4088843477715691, 0.371298537730313, 0.34214970029944136]","[0.47638493590056896, 0.42000612150877714, 0.4039789857342839, 0.34755153954029083, 0.3761385204270482]","[0.49518343452144453, 0.6541723920431981, 0.693297096368137, 0.7177526701119171, 0.7385121083291387]","[0.7050981243794628, 0.744249209841592, 0.7559122147925122, 0.7604927695233321, 0.758541328662693]","[0.49078232786519743, 0.7470995816195579, 0.7828858215554565, 0.8053529236005769, 0.822790855248406]","[0.754765083404042, 0.7914848577612524, 0.804797564993133, 0.8145723932260902, 0.8158675751096262]"
