number,value,params_dropout,params_learning_rate,params_num_layer,params_optimizer,state,train_loss,valid_loss,spearman_train,spearman_val,pearson_train,pearson_val
25,0.23423976683989167,0.5562002802786298,2.8005739271850886e-05,1,RMSprop,COMPLETE,"[0.7403897465132981, 0.23444120266990695, 0.12117377582857077, 0.08660540326411346]","[0.28351533878594637, 0.39966722298413515, 0.23423976683989167, 0.259040754288435]","[0.549730489046594, 0.8236727233700721, 0.914157606950446, 0.9413920445725]","[0.8254026565401088, 0.8087718480670142, 0.8326855375867712, 0.8235967495471141]","[0.6145939982373084, 0.8833329554859091, 0.9411551140933853, 0.9586798599549206]","[0.8664709020950482, 0.8658339741718765, 0.8794499241537499, 0.8711988775561258]"
26,0.2390354536473751,0.4639239331292279,3.714572153328831e-05,1,RMSprop,COMPLETE,"[0.8226334009882358, 0.2398148245251865, 0.13653769914945252, 0.08939765128407547]","[0.31995255686342716, 0.30761268362402916, 0.2481095977127552, 0.2390354536473751]","[0.5248320602078592, 0.8254938424156845, 0.9025182649352627, 0.9401797833178814]","[0.8238698978061828, 0.8316468019817879, 0.8327916684072575, 0.8361602329287553]","[0.5692342242621505, 0.8805469809626778, 0.9339864095746515, 0.9571104704107823]","[0.8668388642502463, 0.8803839135171232, 0.8879903062731656, 0.8840679258922258]"
22,0.24331169109791517,0.5122338549450518,2.1287141396897976e-05,1,RMSprop,COMPLETE,"[0.7240427641345443, 0.218883905881386, 0.11672834503940112, 0.0772225801303661]","[0.26410155557096004, 0.390562423504889, 0.24331169109791517, 0.25797437131404877]","[0.5611300734042385, 0.8356679940370295, 0.915399816988284, 0.9467334636079633]","[0.8211452958983537, 0.8210977251341339, 0.8206586979667401, 0.8178657347421705]","[0.6190425309164848, 0.8914434368069302, 0.9431882587563097, 0.9631015595981065]","[0.8668178900628492, 0.8755135964701799, 0.8747376610863644, 0.875384007795065]"
17,0.24619914032518864,0.4484276567671588,2.5686897952978353e-05,1,RMSprop,COMPLETE,"[0.7025661302341831, 0.22363492010308683, 0.11406213149642773, 0.07851408517135562]","[0.2567153172567487, 0.3073041960597038, 0.24619914032518864, 0.2779980804771185]","[0.5741478060261787, 0.8302914002870068, 0.9184321418212084, 0.9476211592581453]","[0.8256446189703965, 0.8178256881779105, 0.8234178022914901, 0.8228862571653792]","[0.6344823043217903, 0.8885908551292244, 0.9447866704696468, 0.9629901326340983]","[0.8726177509097907, 0.8761897094316264, 0.8775226469881576, 0.8814374725929806]"
14,0.2511565205641091,0.6989713441107828,2.818388257064065e-05,1,RMSprop,COMPLETE,"[0.8096941604459886, 0.26083186116042756, 0.12285203810968845, 0.10101564785988211]","[0.2800489030778408, 0.3576773200184107, 0.26072336360812187, 0.2511565205641091]","[0.5182073397435062, 0.7996414619012565, 0.9120704175554305, 0.9329050966474306]","[0.8020692709422552, 0.8148448674609224, 0.8225588554644948, 0.8250965899062158]","[0.5814437969965, 0.8701723350369037, 0.9404083082576201, 0.9517362571525402]","[0.8519986572959041, 0.867291727847524, 0.870983464165118, 0.8745288905785513]"
13,0.25255127204582095,0.29648090652936143,2.0850670887995415e-05,1,RMSprop,COMPLETE,"[0.688522709359368, 0.21276836992382145, 0.10336080579448947, 0.08246267770530938]","[0.25255127204582095, 0.4046705970540643, 0.32091977167874575, 0.32306725718081]","[0.5720276117217408, 0.8384409375437747, 0.925310756307334, 0.9427964663706907]","[0.8193661691170584, 0.8010986491474348, 0.8144589057037717, 0.8160411162519072]","[0.6362014753682289, 0.8938503715243524, 0.9498085310756892, 0.9604794054602007]","[0.8692380653348811, 0.8660677721213651, 0.8721692127903703, 0.8740029465291574]"
21,0.25300866551697254,0.41669568683131464,2.384328883536086e-05,1,RMSprop,COMPLETE,"[0.7008244790833631, 0.23132409750343227, 0.1235182784336934, 0.09131321917361707]","[0.28379242587834597, 0.3792895842343569, 0.25300866551697254, 0.2940627634525299]","[0.5710315105840001, 0.8227474527796926, 0.9105709543922994, 0.9375476500798521]","[0.8026488818457412, 0.8073419530667498, 0.8178466722142643, 0.811449869236934]","[0.6366078907056966, 0.8847321605557353, 0.9398523265494324, 0.9562889593803617]","[0.8549375083831902, 0.8663323814663546, 0.8716542791901458, 0.870229057905072]"
11,0.25813347566872835,0.308545387399202,1.682358611288258e-05,2,RMSprop,COMPLETE,"[0.7329695453103497, 0.2387482439764112, 0.13313675825919608, 0.09740247423325082]","[0.32746328599750996, 0.2611159002408385, 0.2664668904617429, 0.25813347566872835]","[0.543823158623925, 0.8155957125341793, 0.8981842142418578, 0.9316184409441042]","[0.8145893416701807, 0.8180617599516506, 0.8228040849816073, 0.81929612475559]","[0.6063080577233498, 0.8807178119008461, 0.9348666384543863, 0.9536057455747361]","[0.860465814588092, 0.8627777903354843, 0.869218331609496, 0.8682117888784353]"
10,0.25849290657788515,0.29576675637920563,1.7442644268109026e-05,2,RMSprop,COMPLETE,"[0.7471895176086495, 0.2394645509691976, 0.12388620627440995, 0.09334486906530617]","[0.3442528769373894, 0.28504879120737314, 0.25849290657788515, 0.2774644875898957]","[0.5144527020300989, 0.8122755462713791, 0.9063211655970002, 0.935916251272615]","[0.7975561865044964, 0.7986712531380198, 0.8096003515849615, 0.8048659467654891]","[0.5948531069365051, 0.8801165440412075, 0.9394389051531116, 0.9550796499575748]","[0.8478665219943031, 0.8548297409532554, 0.8632497664431766, 0.8610754547185131]"
23,0.2617848087102175,0.6196740797461783,3.0754217423801576e-05,1,RMSprop,COMPLETE,"[0.8070669925684552, 0.25536174605861844, 0.13636179848594202, 0.08141984014014761]","[0.3080075979232788, 0.3390805209055543, 0.3566370140761137, 0.2617848087102175]","[0.5157834806434068, 0.8077100062388903, 0.9051772620186127, 0.9472776470425888]","[0.81132180933367, 0.8133151778085591, 0.8318785671410774, 0.8211011902262209]","[0.5812503054599701, 0.8726662821360375, 0.9339179516948507, 0.9609804785069928]","[0.8491201557293934, 0.8679927177307915, 0.875117734869163, 0.875604113995778]"
