number,value,params_dropout,params_learning_rate,params_num_layer,params_optimizer,state,train_loss,valid_loss,spearman_train,spearman_val,pearson_train,pearson_val
22,0.21849243296310306,0.3253371366891878,2.6470404917373603e-05,0,RMSprop,COMPLETE,"[0.6062887161970139, 0.17827804059647828, 0.08999781751429005, 0.059130760010251464, 0.04785067939179407]","[0.2674328852444887, 0.35335296764969826, 0.2338261865079403, 0.2685709586367011, 0.21849243296310306]","[0.6504019766387401, 0.868394690266739, 0.93496980405452, 0.9593366044955882, 0.9675009640947092]","[0.8245921715010127, 0.8264217401228285, 0.8354013777617522, 0.8375577540686663, 0.8416292372706237]","[0.684871116208399, 0.911718797236082, 0.956357145816135, 0.9716660295952684, 0.9771140850419541]","[0.8746574743293634, 0.8797325323184438, 0.8838793119010547, 0.883566091886718, 0.8876870370073505]"
24,0.22490024426952004,0.3719248900097957,2.5609497037110907e-05,0,RMSprop,COMPLETE,"[0.6336562582057157, 0.18315243855011548, 0.09372774278410047, 0.06452361133834011, 0.04737892489639117]","[0.26236399821937084, 0.27707763062790036, 0.22490024426952004, 0.3371685640886426, 0.29780237656086683]","[0.6338740992507838, 0.8628288930273423, 0.9323000447388954, 0.955055328040988, 0.967672668351376]","[0.8300599878113083, 0.8327598885626901, 0.8324357539486305, 0.8275376482787158, 0.8361654305668855]","[0.6661343782987181, 0.9091041031163112, 0.9544910511564594, 0.9691229825647707, 0.9773681517073866]","[0.8735491415716382, 0.8855122661343534, 0.8827010783247792, 0.8799063475534952, 0.8810786510533628]"
27,0.22889344627037644,0.4795724573562925,2.8531003963147673e-05,1,RMSprop,COMPLETE,"[0.7340998920819742, 0.230455514927991, 0.12289452134705275, 0.08568073990051266, 0.06799171751083659]","[0.25905551854521036, 0.48782155849039555, 0.4274855889379978, 0.33396517019718885, 0.22889344627037644]","[0.5592786054222136, 0.8292487639705479, 0.9122010351736297, 0.9384648326101493, 0.9521476741751841]","[0.830504163115517, 0.8287370651538941, 0.8331484243882484, 0.8192719186122982, 0.8297737217036254]","[0.6198065852128155, 0.8853863245642377, 0.9403252983166829, 0.9589704699185547, 0.9676429468930232]","[0.8706321938545462, 0.8748056176011625, 0.879205108146849, 0.8736017013434134, 0.8808196957496681]"
14,0.22891508135944605,0.3033972446248643,2.2330267745072117e-05,0,RMSprop,COMPLETE,"[0.6072560342953359, 0.19203658895098047, 0.10283477026835192, 0.06936130791956144, 0.05083337513957736]","[0.24329541623592377, 0.30603304971009493, 0.22891508135944605, 0.4132857657968998, 0.3079739175736904]","[0.6297989599045307, 0.8562367497904285, 0.9245976626236874, 0.9500205434143457, 0.9636485790016839]","[0.827245937026325, 0.8217671314239828, 0.8290942171454092, 0.8259177177281498, 0.8290366471154536]","[0.6750579620698546, 0.9044654915470561, 0.9500272266539737, 0.9665983909509086, 0.9756646818429334]","[0.8765563218010298, 0.8766982756442342, 0.8805207026289468, 0.8771765934325819, 0.8787724057738387]"
21,0.23303266242146492,0.28985530383390157,2.429091244350318e-05,0,RMSprop,COMPLETE,"[0.602751256214629, 0.19117988190419383, 0.09967985065828125, 0.06447783009343439, 0.04829671495868791]","[0.27043927647173405, 0.46290145441889763, 0.2813279526308179, 0.23303266242146492, 0.29492592439055443]","[0.6471465848263708, 0.8542148843186297, 0.9267705199367989, 0.954162116996569, 0.9668358780091281]","[0.8242769966250632, 0.8171970214707389, 0.8194237391470144, 0.8314040475304517, 0.8324081817158829]","[0.6831101626170081, 0.9047795064848297, 0.9517847722422303, 0.9690535580290968, 0.9769913749222978]","[0.8712625421172167, 0.8721004859543043, 0.8747803475285121, 0.8800127361908637, 0.8817251989330462]"
23,0.23754541971720755,0.29072921437013083,2.793923995877553e-05,0,RMSprop,COMPLETE,"[0.6271491053936292, 0.18924650083557307, 0.09286282149900635, 0.06555095462383126, 0.04791926321901863]","[0.26002603909000754, 0.29186113830655813, 0.340421374887228, 0.28263291623443365, 0.23754541971720755]","[0.6419523791900941, 0.8622018815040582, 0.9342526718817407, 0.9558884073770014, 0.9668627802179354]","[0.8250314956763, 0.826528167951208, 0.826945810550295, 0.8255032432132563, 0.8305112913049526]","[0.6727150939257955, 0.9060449558989314, 0.9549669643113298, 0.9684961514259391, 0.9770585648425693]","[0.8683416149770868, 0.874423337497398, 0.8709601627864568, 0.8751819252627715, 0.877486261540176]"
13,0.24181019375100732,0.32451155338771376,2.3738930453967992e-05,0,RMSprop,COMPLETE,"[0.5826277354423949, 0.18970775521166033, 0.09397209191815459, 0.06694778206376292, 0.04333051290738282]","[0.24934091418981552, 0.4554722961038351, 0.2729172436520457, 0.30805560387670994, 0.24181019375100732]","[0.6468958272214215, 0.8561511205567727, 0.9298761339573722, 0.9525257784533928, 0.9704021340189883]","[0.8275524491720577, 0.8260916158495902, 0.8209198174061361, 0.82547344342131, 0.8257060006016479]","[0.6912987686718631, 0.9058246306145078, 0.9545023750920386, 0.9677836448886853, 0.979413586232492]","[0.8776963661966818, 0.8800577162406985, 0.8738225522878343, 0.8781279859741445, 0.8771959677562238]"
16,0.24646844808012247,0.2482593218154796,2.3721212510073336e-05,0,RMSprop,COMPLETE,"[0.5899410230650318, 0.1836610658348893, 0.09643783656170042, 0.060904689468175385, 0.048815769578913135]","[0.24646844808012247, 0.3915544468909502, 0.36730159539729357, 0.28566320054233074, 0.24803004460409284]","[0.6431615231442113, 0.860450370753817, 0.9291181096535465, 0.9563795709973558, 0.966021793841224]","[0.8202270959966746, 0.8141233362858254, 0.8310745667743151, 0.8270193200038503, 0.8201805647600808]","[0.6891127050097431, 0.9089064876430684, 0.9534289020697343, 0.9707505351424116, 0.9766691739810538]","[0.8743768903276374, 0.8713882382717006, 0.8801045044809435, 0.8789257518168762, 0.8772621707567859]"
19,0.25004532001912594,0.2669497046218891,2.1423862729849018e-05,0,RMSprop,COMPLETE,"[0.6074770954873064, 0.1821210164335563, 0.09953018872857951, 0.06622946274419911, 0.04586158412769973]","[0.25216834200546145, 0.4388724770396948, 0.27239493001252413, 0.25004532001912594, 0.2659853962250054]","[0.6395780673581068, 0.858581683114399, 0.9251463556022419, 0.9528854638338291, 0.9675921710513019]","[0.8232840992382562, 0.8213484987985853, 0.8203360483921459, 0.8208265569276862, 0.8129832714879619]","[0.6820633995768454, 0.9094757271063971, 0.9518845507059919, 0.9682422877733702, 0.9781693385549252]","[0.8707726252598563, 0.8754275660471553, 0.8737725414915011, 0.8761590291156949, 0.8704935049578815]"
15,0.2523246016353369,0.3756659966495096,2.0987793186969648e-05,0,RMSprop,COMPLETE,"[0.6434172149613607, 0.19748928577458258, 0.11170524696437575, 0.06888707786825278, 0.053208751175150594]","[0.34014299698174, 0.2553697433322668, 0.3859993787482381, 0.2523246016353369, 0.3586999801918864]","[0.6146610300073262, 0.8478817864968369, 0.9155294480110374, 0.9506095181427819, 0.9624788792706165]","[0.815754998648171, 0.828030037864246, 0.8185603867029373, 0.8203569379472977, 0.8185024701637726]","[0.658639582036711, 0.901434388488618, 0.9456233048344703, 0.966970171004174, 0.9745460057542726]","[0.8636326143040703, 0.8800438547735617, 0.8730128226622378, 0.8743571089119265, 0.8724706774927553]"
8,0.25472692772746086,0.2718476193537649,3.0353574141567933e-05,0,RMSprop,COMPLETE,"[0.6791560306823511, 0.20919562951266338, 0.11229164918496025, 0.07127926039020363, 0.05304207102723902]","[0.2767065903171897, 0.25472692772746086, 0.3226526090875268, 0.28916958905756474, 0.28180610202252865]","[0.6014673668283794, 0.8400014859408101, 0.919149259204178, 0.9511920279755108, 0.9621527193611824]","[0.8176291184539595, 0.8256512521466769, 0.8142859976086415, 0.8102423836473249, 0.8214834393847072]","[0.6369279496517786, 0.8954840070805261, 0.9453677544009245, 0.965684300765982, 0.9747460992890014]","[0.8653521628563403, 0.8741102769590368, 0.8680980309901745, 0.8696166550396769, 0.8750044635533691]"
6,0.26404683105647564,0.5565195656435896,5.46018972707804e-05,1,Adam,COMPLETE,"[0.7687268751345092, 0.2796972395061589, 0.2116737465421073, 0.1604306838280863, 0.13512355252671585]","[0.3188545722514391, 0.27149477507919073, 0.26404683105647564, 0.3356504933908582, 0.3575449539348483]","[0.5686303596745326, 0.7987659412936993, 0.8552308881968378, 0.8918647452585124, 0.909187176762087]","[0.7994448596970495, 0.8075947067838222, 0.8146800775815387, 0.8044814205464884, 0.8181012125001244]","[0.607039759055457, 0.8592501520866155, 0.8960951913736053, 0.9227175121924606, 0.9351809842468015]","[0.8476088999509747, 0.8596045017093078, 0.8656803836113592, 0.8509061511426571, 0.8683485346926922]"
20,0.26550447940826416,0.3934931194820991,1.704351009319212e-05,1,RMSprop,COMPLETE,"[0.6989207514327207, 0.22981503881889281, 0.12574655487597416, 0.08196484931349325, 0.05801534480515787]","[0.2806944651529193, 0.35033541452139616, 0.33791049756109715, 0.26550447940826416, 0.38155397772789]","[0.5700578477739935, 0.8228201647889879, 0.9063446408687565, 0.9415305975771769, 0.9598743218329068]","[0.8062846544684448, 0.8135122920469808, 0.8186218178355043, 0.821456560170377, 0.8181923939233221]","[0.6231044105675794, 0.8847869091606138, 0.9390090220378616, 0.9606580488702665, 0.9722407766122333]","[0.8507528669809827, 0.8647467529093739, 0.8730244191183453, 0.8696143883017293, 0.8726998243655454]"
28,0.2683083498850465,0.4790996483628157,2.7597108923430253e-05,1,RMSprop,COMPLETE,"[0.798808449892689, 0.2319499441831232, 0.13959266709016382, 0.09170271973494146, 0.07352312380890194]","[0.2683083498850465, 0.35432808473706245, 0.4565369840711355, 0.38889102824032307, 0.27035918459296227]","[0.516748549601762, 0.8244059932100757, 0.8977430796581175, 0.935210154315724, 0.9483940283041732]","[0.8205867230539662, 0.8274450808186834, 0.8253138016787408, 0.8260389959511869, 0.8313583578162219]","[0.5748072823973495, 0.8839575924433438, 0.9320898136898341, 0.955826739879829, 0.9650278904210576]","[0.8630362965797211, 0.87412806067465, 0.8750060600258377, 0.8743370024850022, 0.8805507998527239]"
5,0.27222520811483264,0.009172776467775721,7.308521800520758e-05,0,Adam,COMPLETE,"[0.635515385072866, 0.23970124699014553, 0.16260383626539932, 0.12862812432882598, 0.10388629938469088]","[0.3316997094079852, 0.2817229530774057, 0.27222520811483264, 0.354202663525939, 0.41558970510959625]","[0.6320018018822877, 0.8208552290101788, 0.8853239110895852, 0.9117223925647077, 0.9291552644603854]","[0.8060217034803742, 0.810702993388288, 0.8112713674931498, 0.8145132086469028, 0.7942872186298354]","[0.6626661821192436, 0.880089997598514, 0.9202356331552506, 0.9375121491827902, 0.9498102493434009]","[0.8556338554357132, 0.8597835542809357, 0.8718016204599026, 0.8680112578390454, 0.8585700940369431]"
1,0.2727971007116139,0.6078873226375795,7.138132869410274e-05,1,Adam,COMPLETE,"[0.80654619945039, 0.3208447816989405, 0.2257302714337548, 0.19291914214225983, 0.16443652230844225]","[0.2917429283261299, 0.31391346734017134, 0.3037662818096578, 0.2727971007116139, 0.27601386327296495]","[0.5209490459734312, 0.7667621032535963, 0.8459625663468454, 0.8726821010531466, 0.8888990683249934]","[0.7842273137822028, 0.7813194085029835, 0.7995350510939365, 0.8043456384380024, 0.8042529719753392]","[0.5793091553825769, 0.8382477939367466, 0.888827943281549, 0.9069105570331134, 0.9214896045631198]","[0.8486033747271298, 0.8454606938923567, 0.853553408900592, 0.8569360204999152, 0.8578107026425666]"
12,0.2767098741605878,0.4421239550245509,4.3132926510207314e-05,2,Adam,COMPLETE,"[0.9517553122781164, 0.3091048091757212, 0.2033640373525002, 0.13609550193809777, 0.11530308795275448]","[0.30779612623155117, 0.3254622984677553, 0.3857816495001316, 0.2781343488022685, 0.2767098741605878]","[0.49913733520769027, 0.7689837742709486, 0.8577895085091208, 0.9101917746018536, 0.9216761437459876]","[0.8038583969892868, 0.8224385672677683, 0.8111321697938925, 0.8198295509316909, 0.8097104425106898]","[0.5322772172911583, 0.8445037055873073, 0.9006899166384129, 0.9345855309673634, 0.9447660604934073]","[0.8429806632610384, 0.8564700284931669, 0.8607067570976653, 0.8671822376274183, 0.8588415380075626]"
